STATE,STATE.CODE,OLD,COUNTY,COUNTY.CODE
UTTARAKHAND,IN-UL,Garhwal,Garhwal,IN-UL-PG
DELHI,IN-DL,East Delhi,East,IN-DL-EA
KARNATAKA,IN-KA,Kodagu,Kodagu,IN-KA-KD
MAHARASHTRA,IN-MH,Thane,Thane,IN-MH-TH
KERALA,IN-KL,Thrissur,Thrissur,IN-KL-TS
KERALA,IN-KL,Wayanad,Wayanad,IN-KL-WA
TAMIL NADU,IN-TN,Thiruvallur,Thiruvallur,IN-TN-TL
ASSAM,IN-AS,Baksa,Baksa,IN-AS-BK
CHHATTISGARH,IN-CT,Durg,Durg,IN-CT-DU
TAMIL NADU,IN-TN,Ramanathapuram,Ramanathapuram,IN-TN-RA
ASSAM,IN-AS,Nagaon,Nagaon,IN-AS-NG
WEST BENGAL,IN-WB,North 24 Parganas,North Twenty Four Parganas,IN-WB-PN
ODISHA,IN-OR,Khordha,Khordha,IN-OR-KH
JAMMU & KASHMIR,IN-JK,Leh (ladakh),Leh,IN-JK-LE
HIMACHAL PRADESH,IN-HP,Kullu,Kullu,IN-HP-KU
ASSAM,IN-AS,Tinsukia,Tinsukia,IN-AS-TI
GUJARAT,IN-GJ,Kachchh,Kachchh,IN-GJ-KA
CHHATTISGARH,IN-CT,Bastar,Bastar,IN-CT-BA
KERALA,IN-KL,Kannur,Kannur,IN-KL-KN
ASSAM,IN-AS,Sonitpur,Sonitpur,IN-AS-SO
WEST BENGAL,IN-WB,Jalpaiguri,Jalpaiguri,IN-WB-JA
UTTARAKHAND,IN-UL,Bageshwar,Bageshwar,IN-UL-BA
HARYANA,IN-HR,Sonipat,Sonipat,IN-HR-SO
DELHI,IN-DL,North Delhi,North,IN-DL-NO
ANDHRA PRADESH,IN-AP,Sri Potti Sriramulu Nellore,Sri Potti Sriramulu Nellore,IN-AP-NE
MADHYA PRADESH,IN-MP,Rewa,Rewa,IN-MP-RE
MAHARASHTRA,IN-MH,Buldana,Buldana,IN-MH-BU
ASSAM,IN-AS,Marigaon,Morigaon,IN-AS-MA
CHHATTISGARH,IN-CT,Bilaspur,Bilaspur,IN-CT-BI
MAHARASHTRA,IN-MH,Ahmadnagar,Ahmadnagar,IN-MH-AH
UTTARAKHAND,IN-UL,Almora,Almora,IN-UL-AL
CHHATTISGARH,IN-CT,Koriya,Koriya,IN-CT-KJ
ANDHRA PRADESH,IN-AP,East Godavari,East Godavari,IN-AP-EG
WEST BENGAL,IN-WB,Barddhaman,Barddhaman,IN-WB-BR
MADHYA PRADESH,IN-MP,Balaghat,Balaghat,IN-MP-BL
MADHYA PRADESH,IN-MP,Ujjain,Ujjain,IN-MP-UJ
MIZORAM,IN-MZ,Mamit,Mamit,IN-MZ-MA
GUJARAT,IN-GJ,Porbandar,Porbandar,IN-GJ-PO
MADHYA PRADESH,IN-MP,Mandla,Mandla,IN-MP-ML
KERALA,IN-KL,Kozhikode,Kozhikode,IN-KL-KZ
MAHARASHTRA,IN-MH,Yavatmal,Yavatmal,IN-MH-YA
KARNATAKA,IN-KA,Chikmagalur,Chikkamagaluru,IN-KA-CK
ANDAMAN & NICOBAR ISLANDS,IN-AN,South Andaman,South Andaman,IN-AN-AS
MADHYA PRADESH,IN-MP,Shahdol,Shahdol,IN-MP-SH
ANDHRA PRADESH,IN-AP,Chittoor,Chittoor,IN-AP-CH
MADHYA PRADESH,IN-MP,Anuppur,Anuppur,IN-MP-AN
MAHARASHTRA,IN-MH,Amravati,Amravati,IN-MH-AM
MAHARASHTRA,IN-MH,Mumbai Suburban,Mumbai Suburban,IN-MH-MS
DELHI,IN-DL,New Delhi,New Delhi,IN-DL-ND
ODISHA,IN-OR,Sambalpur,Sambalpur,IN-OR-SA
JAMMU & KASHMIR,IN-JK,Pulwama,Pulwama,IN-JK-PU
JAMMU & KASHMIR,IN-JK,Kupwara,Kupwara,IN-JK-KU
KARNATAKA,IN-KA,Tumkur,Tumakuru,IN-KA-TU
MAHARASHTRA,IN-MH,Aurangabad,Aurangabad,IN-MH-AU
KARNATAKA,IN-KA,Shimoga,Shivamogga,IN-KA-SH
JAMMU & KASHMIR,IN-JK,Kargil,Kargil,IN-JK-KR
GUJARAT,IN-GJ,Rajkot,Rajkot,IN-GJ-RA
JAMMU & KASHMIR,IN-JK,Kishtwar,Kishtwar,IN-JK-KS
KARNATAKA,IN-KA,Bagalkot,Bagalkote,IN-KA-BK
TELANGANA,IN-TS,Nizamabad,Nizamabad,IN-TS-NI
KARNATAKA,IN-KA,Uttara Kannada,Uttara Kannada,IN-KA-UK
MADHYA PRADESH,IN-MP,Panna,Panna,IN-MP-PA
TAMIL NADU,IN-TN,The Nilgiris,The Nilgiris,IN-TN-NI
MADHYA PRADESH,IN-MP,Umaria,Umaria,IN-MP-UM
CHHATTISGARH,IN-CT,Dhamtari,Dhamtari,IN-CT-DH
GUJARAT,IN-GJ,Mahesana,Mahesana,IN-GJ-MA
PUDUCHERRY,IN-PY,Puducherry,Puducherry,IN-PY-PO
ANDHRA PRADESH,IN-AP,Kadapa,Y.S.R.,IN-AP-CU
TAMIL NADU,IN-TN,Krishnagiri,Krishnagiri,IN-TN-KS
WEST BENGAL,IN-WB,Haora,Howrah,IN-WB-HR
WEST BENGAL,IN-WB,Birbhum,Birbhum,IN-WB-BI
ANDHRA PRADESH,IN-AP,Srikakulam,Srikakulam,IN-AP-SR
WEST BENGAL,IN-WB,Nadia,Nadia,IN-WB-NA
KERALA,IN-KL,Kottayam,Kottayam,IN-KL-KT
KARNATAKA,IN-KA,Chamrajnagar,Chamarajanagara,IN-KA-CJ
UTTARAKHAND,IN-UL,Tehri Garhwal,Tehri Garhwal,IN-UL-TG
ARUNACHAL PRADESH,IN-AR,Lower Subansiri,Lower Subansiri,IN-AR-LB
TELANGANA,IN-TS,Warangal,Warangal,IN-TS-WA
ODISHA,IN-OR,Bhadrak,Bhadrak,IN-OR-BH
JHARKHAND,IN-JH,Saraikela-kharsawan,Saraikela-kharsawan,IN-JH-SR
MAHARASHTRA,IN-MH,Garhchiroli,Gadchiroli,IN-MH-GA
ODISHA,IN-OR,Kendujhar,Kendujhar,IN-OR-KJ
TAMIL NADU,IN-TN,Madurai,Madurai,IN-TN-MA
CHHATTISGARH,IN-CT,Bijapur,Bijapur,IN-CT-BJ
CHHATTISGARH,IN-CT,Korba,Korba,IN-CT-KB
MADHYA PRADESH,IN-MP,Satna,Satna,IN-MP-ST
MADHYA PRADESH,IN-MP,Bhopal,Bhopal,IN-MP-BP
RAJASTHAN,IN-RJ,Rajsamand,Rajsamand,IN-RJ-RA
KARNATAKA,IN-KA,Udupi,Udupi,IN-KA-UD
UTTARAKHAND,IN-UL,Champawat,Champawat,IN-UL-CP
CHHATTISGARH,IN-CT,Kabeerdham,Kabeerdham,IN-CT-KW
RAJASTHAN,IN-RJ,Nagaur,Nagaur,IN-RJ-NA
WEST BENGAL,IN-WB,Puruliya,Puruliya,IN-WB-PU
UTTAR PRADESH,IN-UP,Kheri,Kheri,IN-UP-LK
ANDHRA PRADESH,IN-AP,Vizianagaram,Vizianagaram,IN-AP-VZ
JAMMU & KASHMIR,IN-JK,Bandipore,Bandipore,IN-JK-BN
TAMIL NADU,IN-TN,Tirunelveli,Tirunelveli,IN-TN-TI
ODISHA,IN-OR,Cuttack,Cuttack,IN-OR-CU
RAJASTHAN,IN-RJ,Alwar,Alwar,IN-RJ-AL
MAHARASHTRA,IN-MH,Chandrapur,Chandrapur,IN-MH-CH
HIMACHAL PRADESH,IN-HP,Chamba,Chamba,IN-HP-CH
TELANGANA,IN-TS,Nalgonda,Nalgonda,IN-TS-NA
GUJARAT,IN-GJ,The Dangs,The Dangs,IN-GJ-DG
SIKKIM,IN-SK,East Sikkim,East District,IN-SK-ES
UTTAR PRADESH,IN-UP,Gorakhpur,Gorakhpur,IN-UP-GR
TAMIL NADU,IN-TN,Viluppuram,Viluppuram,IN-TN-VL
ODISHA,IN-OR,Mayurbhanj,Mayurbhanj,IN-OR-MY
TAMIL NADU,IN-TN,Vellore,Vellore,IN-TN-VE
CHHATTISGARH,IN-CT,Jashpur,Jashpur,IN-CT-JA
RAJASTHAN,IN-RJ,Bikaner,Bikaner,IN-RJ-BI
RAJASTHAN,IN-RJ,Chittaurgarh,Chittaurgarh,IN-RJ-CT
MADHYA PRADESH,IN-MP,Singrauli,Singrauli,IN-MP-SN
MAHARASHTRA,IN-MH,Washim,Washim,IN-MH-WS
TAMIL NADU,IN-TN,Cuddalore,Cuddalore,IN-TN-CU
ASSAM,IN-AS,Dhemaji,Dhemaji,IN-AS-DM
RAJASTHAN,IN-RJ,Dhaulpur,Dhaulpur,IN-RJ-DH
MAHARASHTRA,IN-MH,Sindhudurg,Sindhudurg,IN-MH-SI
ANDHRA PRADESH,IN-AP,Kurnool,Kurnool,IN-AP-KU
DELHI,IN-DL,North East Delhi,North East,IN-DL-NE
UTTAR PRADESH,IN-UP,Unnao,Unnao,IN-UP-UN
KARNATAKA,IN-KA,Koppal,Koppal,IN-KA-KP
MAHARASHTRA,IN-MH,Nashik,Nashik,IN-MH-NS
KARNATAKA,IN-KA,Ramanagara,Ramanagara,IN-KA-RM
HARYANA,IN-HR,Panchkula,Panchkula,IN-HR-PK
KERALA,IN-KL,Kasaragod,Kasaragod,IN-KL-KS
ODISHA,IN-OR,Puri,Puri,IN-OR-PU
CHHATTISGARH,IN-CT,Surguja,Surguja,IN-CT-SU
ODISHA,IN-OR,Anugul,Anugul,IN-OR-AN
ASSAM,IN-AS,Cachar,Cachar,IN-AS-CA
MAHARASHTRA,IN-MH,Solapur,Solapur,IN-MH-SO
HIMACHAL PRADESH,IN-HP,Solan,Solan,IN-HP-SO
UTTARAKHAND,IN-UL,Udham Singh Nagar,Udham Singh Nagar,IN-UL-US
SIKKIM,IN-SK,West Sikkim,West District,IN-SK-WS
MADHYA PRADESH,IN-MP,Gwalior,Gwalior,IN-MP-GW
GUJARAT,IN-GJ,Junagadh,Junagadh,IN-GJ-JU
RAJASTHAN,IN-RJ,Jhunjhunun,Jhunjhunun,IN-RJ-JJ
KARNATAKA,IN-KA,Chikkaballapura,Chikkaballapura,IN-KA-CH
KARNATAKA,IN-KA,Hassan,Hassan,IN-KA-HS
ODISHA,IN-OR,Kalahandi,Kalahandi,IN-OR-KL
ODISHA,IN-OR,Nuapada,Nuapada,IN-OR-NU
RAJASTHAN,IN-RJ,Jaipur,Jaipur,IN-RJ-JP
GUJARAT,IN-GJ,Jamnagar,Jamnagar,IN-GJ-JA
WEST BENGAL,IN-WB,Koch Bihar,Cooch Behar,IN-WB-KB
ARUNACHAL PRADESH,IN-AR,Lower Dibang Valley,Lower Dibang Valley,IN-AR-LD
ANDHRA PRADESH,IN-AP,Guntur,Guntur,IN-AP-GU
HARYANA,IN-HR,Palwal,Palwal,IN-HR-PL
GUJARAT,IN-GJ,Surat,Surat,IN-GJ-ST
JAMMU & KASHMIR,IN-JK,Srinagar,Srinagar,IN-JK-SR
TAMIL NADU,IN-TN,Dindigul,Dindigul,IN-TN-DI
GUJARAT,IN-GJ,Panch Mahals,Panch Mahals,IN-GJ-PM
ODISHA,IN-OR,Bargarh,Bargarh,IN-OR-BR
ANDHRA PRADESH,IN-AP,Prakasam,Prakasam,IN-AP-PR
KARNATAKA,IN-KA,Haveri,Haveri,IN-KA-HV
TAMIL NADU,IN-TN,Kanniyakumari,Kanniyakumari,IN-TN-KK
PUNJAB,IN-PB,Tarn Taran,Tarn Taran,IN-PB-TA
HIMACHAL PRADESH,IN-HP,Shimla,Shimla,IN-HP-SH
MADHYA PRADESH,IN-MP,Harda,Harda,IN-MP-HA
ASSAM,IN-AS,Dibrugarh,Dibrugarh,IN-AS-DI
RAJASTHAN,IN-RJ,Churu,Churu,IN-RJ-CR
ASSAM,IN-AS,Dhubri,Dhubri,IN-AS-DB
ASSAM,IN-AS,Kamrup Metropolitan,Kamrup Metropolitan,IN-AS-KM
UTTAR PRADESH,IN-UP,Etah,Etah,IN-UP-ET
KERALA,IN-KL,Alappuzha,Alappuzha,IN-KL-AL
ASSAM,IN-AS,Darrang,Darrang,IN-AS-DA
RAJASTHAN,IN-RJ,Ajmer,Ajmer,IN-RJ-AJ
HARYANA,IN-HR,Rohtak,Rohtak,IN-HR-RO
MADHYA PRADESH,IN-MP,Vidisha,Vidisha,IN-MP-VI
CHHATTISGARH,IN-CT,Uttar Bastar Kanker,Uttar Bastar Kanker,IN-CT-KK
MAHARASHTRA,IN-MH,Gondiya,Gondiya,IN-MH-GO
RAJASTHAN,IN-RJ,Udaipur,Udaipur,IN-RJ-UD
JAMMU & KASHMIR,IN-JK,Ramban,Ramban,IN-JK-RM
UTTAR PRADESH,IN-UP,Shahjahanpur,Shahjahanpur,IN-UP-SJ
UTTARAKHAND,IN-UL,Rudraprayag,Rudraprayag,IN-UL-RP
MADHYA PRADESH,IN-MP,Sagar,Sagar,IN-MP-SG
MADHYA PRADESH,IN-MP,Chhatarpur,Chhatarpur,IN-MP-CT
KARNATAKA,IN-KA,Bellary,Ballari,IN-KA-BL
MADHYA PRADESH,IN-MP,Seoni,Seoni,IN-MP-SO
CHHATTISGARH,IN-CT,Dakshin Bastar Dantewada,Dakshin Bastar Dantewada,IN-CT-DA
ANDHRA PRADESH,IN-AP,Visakhapatnam,Visakhapatnam,IN-AP-VS
RAJASTHAN,IN-RJ,Jodhpur,Jodhpur,IN-RJ-JO
WEST BENGAL,IN-WB,Uttar Dinajpur,Uttar Dinajpur,IN-WB-UD
TAMIL NADU,IN-TN,Karur,Karur,IN-TN-KR
UTTAR PRADESH,IN-UP,Bijnor,Bijnor,IN-UP-BI
JAMMU & KASHMIR,IN-JK,Jammu,Jammu,IN-JK-JA
GUJARAT,IN-GJ,Bhavnagar,Bhavnagar,IN-GJ-BV
ANDHRA PRADESH,IN-AP,Anantapur,Anantapur,IN-AP-AN
KARNATAKA,IN-KA,Belgaum,Belagavi,IN-KA-BG
UTTAR PRADESH,IN-UP,Mathura,Mathura,IN-UP-MT
JAMMU & KASHMIR,IN-JK,Pakistan-administered Kashmir,Pakistan-administered Kashmir,IN-JK-KM
UTTAR PRADESH,IN-UP,Aligarh,Aligarh,IN-UP-AL
PUNJAB,IN-PB,Amritsar,Amritsar,IN-PB-AM
MIZORAM,IN-MZ,Champhai,Champhai,IN-MZ-CH
ASSAM,IN-AS,Kokrajhar,Kokrajhar,IN-AS-KK
CHHATTISGARH,IN-CT,Janjgir-champa,Janjgir - Champa,IN-CT-JC
ANDAMAN & NICOBAR ISLANDS,IN-AN,Nicobar,Nicobars,IN-AN-NI
TAMIL NADU,IN-TN,Dharmapuri,Dharmapuri,IN-TN-DH
BIHAR,IN-BR,Gaya,Gaya,IN-BR-GA
MADHYA PRADESH,IN-MP,Tikamgarh,Tikamgarh,IN-MP-TI
TAMIL NADU,IN-TN,Theni,Theni,IN-TN-TH
RAJASTHAN,IN-RJ,Tonk,Tonk,IN-RJ-TO
ARUNACHAL PRADESH,IN-AR,Dibang Valley,Dibang Valley,IN-AR-UD
UTTAR PRADESH,IN-UP,Ghaziabad,Ghaziabad,IN-UP-GZ
MADHYA PRADESH,IN-MP,Sehore,Sehore,IN-MP-SR
CHHATTISGARH,IN-CT,Rajnandgaon,Rajnandgaon,IN-CT-RN
RAJASTHAN,IN-RJ,Sirohi,Sirohi,IN-RJ-SR
ARUNACHAL PRADESH,IN-AR,Papum Pare,Papum Pare,IN-AR-PA
CHHATTISGARH,IN-CT,Narayanpur,Narayanpur,IN-CT-NA
HARYANA,IN-HR,Hisar,Hisar,IN-HR-HI
MADHYA PRADESH,IN-MP,Indore,Indore,IN-MP-IN
KARNATAKA,IN-KA,Davanagere,Davanagere,IN-KA-DA
UTTAR PRADESH,IN-UP,Lalitpur,Lalitpur,IN-UP-LA
GUJARAT,IN-GJ,Navsari,Navsari,IN-GJ-NV
TAMIL NADU,IN-TN,Tiruchirappalli,Tiruchirappalli,IN-TN-TC
LAKSHADWEEP,IN-LD,Lakshadweep,Lakshadweep,IN-LD-LD
MADHYA PRADESH,IN-MP,Ratlam,Ratlam,IN-MP-RL
UTTAR PRADESH,IN-UP,Jyotiba Phule Nagar,Amroha,IN-UP-JP
JAMMU & KASHMIR,IN-JK,Rajouri,Rajouri,IN-JK-RA
ASSAM,IN-AS,Barpeta,Barpeta,IN-AS-BA
MADHYA PRADESH,IN-MP,Betul,Betul,IN-MP-BE
KERALA,IN-KL,Pathanamthitta,Pathanamthitta,IN-KL-PT
TAMIL NADU,IN-TN,Tiruvannamalai,Tiruvannamalai,IN-TN-TV
MEGHALAYA,IN-ML,South Garo Hills,South Garo Hills,IN-ML-SG
UTTAR PRADESH,IN-UP,Etawah,Etawah,IN-UP-EW
TELANGANA,IN-TS,Karimnagar,Karimnagar,IN-TS-KA
ANDAMAN & NICOBAR ISLANDS,IN-AN,North and Middle Andaman,North & Middle Andaman,IN-AN-AN
HARYANA,IN-HR,Faridabad,Faridabad,IN-HR-FR
ARUNACHAL PRADESH,IN-AR,West Kameng,West Kameng,IN-AR-WK
UTTAR PRADESH,IN-UP,Muzaffarnagar,Muzaffarnagar,IN-UP-MU
UTTAR PRADESH,IN-UP,Varanasi,Varanasi,IN-UP-VA
MADHYA PRADESH,IN-MP,Jabalpur,Jabalpur,IN-MP-JA
MEGHALAYA,IN-ML,Ri Bhoi,Ribhoi,IN-ML-RB
WEST BENGAL,IN-WB,Pashchim Medinipur,Medinipur West,IN-WB-MW
ANDHRA PRADESH,IN-AP,Krishna,Krishna,IN-AP-KR
KARNATAKA,IN-KA,Yadgir,Yadgir,IN-KA-YD
HARYANA,IN-HR,Rewari,Rewari,IN-HR-RE
UTTAR PRADESH,IN-UP,Sultanpur,Sultanpur,IN-UP-SU
TELANGANA,IN-TS,Khammam,Khammam,IN-TS-KH
UTTARAKHAND,IN-UL,Uttarkashi,Uttarkashi,IN-UL-UT
MADHYA PRADESH,IN-MP,Morena,Morena,IN-MP-MO
HIMACHAL PRADESH,IN-HP,Sirmaur,Sirmaur,IN-HP-SI
ASSAM,IN-AS,Dima Hasao,Dima Hasao,IN-AS-NC
MAHARASHTRA,IN-MH,Ratnagiri,Ratnagiri,IN-MH-RT
GUJARAT,IN-GJ,Anand,Anand,IN-GJ-AN
HARYANA,IN-HR,Karnal,Karnal,IN-HR-KR
MIZORAM,IN-MZ,Saiha,Saiha,IN-MZ-SA
DELHI,IN-DL,North West Delhi,North West,IN-DL-NW
KARNATAKA,IN-KA,Kolar,Kolar,IN-KA-KL
MAHARASHTRA,IN-MH,Wardha,Wardha,IN-MH-WR
TAMIL NADU,IN-TN,Namakkal,Namakkal,IN-TN-NM
MADHYA PRADESH,IN-MP,Raisen,Raisen,IN-MP-RS
ASSAM,IN-AS,Chirang,Chirang,IN-AS-CR
ASSAM,IN-AS,Karbi Anglong,Karbi Anglong,IN-AS-KA
RAJASTHAN,IN-RJ,Pali,Pali,IN-RJ-PA
UTTAR PRADESH,IN-UP,Budaun,Budaun,IN-UP-BD
HIMACHAL PRADESH,IN-HP,Lahul and Spiti,Lahul & Spiti,IN-HP-LS
UTTAR PRADESH,IN-UP,Rampur,Rampur,IN-UP-RA
MADHYA PRADESH,IN-MP,Dewas,Dewas,IN-MP-DE
KARNATAKA,IN-KA,Gulbarga,Kalaburagi,IN-KA-GU
BIHAR,IN-BR,Purnia,Purnia,IN-BR-PU
MAHARASHTRA,IN-MH,Nagpur,Nagpur,IN-MH-NG
ASSAM,IN-AS,Bongaigaon,Bongaigaon,IN-AS-BO
BIHAR,IN-BR,Vaishali,Vaishali,IN-BR-VA
RAJASTHAN,IN-RJ,Dungarpur,Dungarpur,IN-RJ-DU
GUJARAT,IN-GJ,Vadodara,Vadodara,IN-GJ-VD
TELANGANA,IN-TS,Adilabad,Adilabad,IN-TS-AD
MADHYA PRADESH,IN-MP,Datia,Datia,IN-MP-DT
MADHYA PRADESH,IN-MP,Shivpuri,Shivpuri,IN-MP-SV
RAJASTHAN,IN-RJ,Sikar,Sikar,IN-RJ-SK
MADHYA PRADESH,IN-MP,Dindori,Dindori,IN-MP-DI
ODISHA,IN-OR,Jagatsinghapur,Jagatsinghapur,IN-OR-JS
MIZORAM,IN-MZ,Aizawl,Aizawl,IN-MZ-AI
ODISHA,IN-OR,Dhenkanal,Dhenkanal,IN-OR-DH
MAHARASHTRA,IN-MH,Akola,Akola,IN-MH-AK
UTTAR PRADESH,IN-UP,Moradabad,Moradabad,IN-UP-MO
ASSAM,IN-AS,Jorhat,Jorhat,IN-AS-JO
UTTAR PRADESH,IN-UP,Bareilly,Bareilly,IN-UP-BR
RAJASTHAN,IN-RJ,Dausa,Dausa,IN-RJ-DA
JAMMU & KASHMIR,IN-JK,Doda,Doda,IN-JK-DO
SIKKIM,IN-SK,North Sikkim,North District,IN-SK-NS
TAMIL NADU,IN-TN,Sivaganga,Sivaganga,IN-TN-SI
MADHYA PRADESH,IN-MP,Chhindwara,Chhindwara,IN-MP-CN
UTTAR PRADESH,IN-UP,Jhansi,Jhansi,IN-UP-JH
ODISHA,IN-OR,Jajapur,Jajapur,IN-OR-JP
BIHAR,IN-BR,Madhubani,Madhubani,IN-BR-MB
JAMMU & KASHMIR,IN-JK,Kulgam,Kulgam,IN-JK-KL
ASSAM,IN-AS,Sivasagar,Sivasagar,IN-AS-SI
BIHAR,IN-BR,Darbhanga,Darbhanga,IN-BR-DA
MIZORAM,IN-MZ,Serchhip,Serchhip,IN-MZ-SE
MIZORAM,IN-MZ,Kolasib,Kolasib,IN-MZ-KO
ARUNACHAL PRADESH,IN-AR,East Siang,East Siang,IN-AR-ES
ODISHA,IN-OR,Debagarh,Debagarh,IN-OR-DE
ODISHA,IN-OR,Ganjam,Ganjam,IN-OR-GN
HIMACHAL PRADESH,IN-HP,Kinnaur,Kinnaur,IN-HP-KI
BIHAR,IN-BR,Saran (chhapra),Saran,IN-BR-SR
JHARKHAND,IN-JH,Ranchi,Ranchi,IN-JH-RA
ASSAM,IN-AS,Lakhimpur,Lakhimpur,IN-AS-LA
KARNATAKA,IN-KA,Bijapur,Bijapur,IN-KA-BJ
MANIPUR,IN-MN,Ukhrul,Ukhrul,IN-MN-UK
ARUNACHAL PRADESH,IN-AR,Lohit,Lohit,IN-AR-LO
WEST BENGAL,IN-WB,Maldah,Maldah,IN-WB-MA
UTTAR PRADESH,IN-UP,Kanpur Nagar,Kanpur Nagar,IN-UP-KN
GUJARAT,IN-GJ,Kheda,Kheda,IN-GJ-KH
TAMIL NADU,IN-TN,Virudunagar,Virudhunagar,IN-TN-VR
WEST BENGAL,IN-WB,Hooghly,Hooghly,IN-WB-HG
