"COMMON.NAME","scientific.name","Concern.Status"
NA,NA,NA
"Swinhoe's Storm-Petrel","Oceanodroma monorhis",NA
"White-tailed Tropicbird","Phaethon lepturus",NA
"Red Knot","Calidris canutus",NA
"Isabelline Shrike","Lanius isabellinus","Low"
"Saker Falcon","Falco cherrug",NA
"Sulphur-bellied Warbler","Phylloscopus griseolus","Moderate"
"Wedge-tailed Shearwater","Ardenna pacifica",NA
"Eastern Marsh-Harrier","Circus spilonotus",NA
"Small Buttonquail (Common Buttonquail)","Turnix sylvaticus",NA
"Lesser Coucal","Centropus bengalensis","Low"
"Blue-eared Kingfisher","Alcedo meninting","Low"
