Submission.ID,Hour,Season,Sp.count
S24345624,17,Wet,31
S24345637,17,Wet,14
S24345653,17,Wet,17
S24345677,18,Wet,22
S24345712,6,Wet,24
S24345737,7,Wet,21
S24345754,7,Wet,14
S24345761,7,Wet,17
S24351951,8,Wet,11
S24352069,8,Wet,19
S24352906,11,Wet,14
S24354937,8,Wet,11
S24354985,16,Wet,14
S24355028,16,Wet,15
S24355067,9,Wet,6
S24355108,17,Wet,17
S24355210,15,Wet,19
S24355239,15,Wet,12
S24355335,10,Wet,16
S24355476,10,Wet,11
S24371261,7,Wet,8
S24371342,7,Wet,8
S24382706,7,Wet,18
S24383180,7,Wet,16
S24383482,8,Wet,16
S24383502,10,Wet,9
S24383523,8,Wet,18
S24383894,9,Wet,8
S24383915,9,Wet,6
S24383922,9,Wet,7
S24383928,9,Wet,6
S24383960,10,Wet,6
S24383969,10,Wet,7
S24383981,11,Wet,9
S24383984,11,Wet,7
S24384082,7,Wet,15
S24384089,7,Wet,15
S24384097,7,Wet,15
S24385793,15,Wet,7
S24385850,16,Wet,9
S24385967,16,Wet,9
S24385988,16,Wet,11
S24386115,17,Wet,17
S24386145,17,Wet,13
S24386167,17,Wet,15
S24386186,17,Wet,14
S24386249,15,Wet,14
S24386271,16,Wet,11
S24386291,16,Wet,9
S24386318,16,Wet,10
S24386380,17,Wet,15
S24386407,17,Wet,12
S24386453,17,Wet,13
S24386478,16,Wet,13
S24386650,14,Wet,11
S24386912,7,Wet,18
S24386940,8,Wet,13
S24386967,8,Wet,15
S24386993,8,Wet,9
S24387031,14,Wet,15
S24387034,17,Wet,20
S24387042,17,Wet,14
S24387048,16,Wet,14
S24387050,16,Wet,12
S24387053,15,Wet,10
S24387059,15,Wet,8
S24395871,9,Wet,25
S24395872,10,Wet,9
S24395873,9,Wet,14
S24395874,8,Wet,7
S24395875,8,Wet,10
S24408279,8,Wet,7
S24409125,9,Wet,10
S24409126,9,Wet,4
S24409128,9,Wet,7
S24409285,15,Wet,11
S24409296,15,Wet,7
S24409299,16,Wet,12
S24409438,15,Wet,7
S24417612,11,Wet,18
S24417644,11,Wet,15
S24417708,11,Wet,16
S24417730,11,Wet,19
S24418870,8,Wet,8
S24418893,8,Wet,11
S24419111,14,Wet,11
S24419122,9,Wet,10
S24419125,9,Wet,9
S24419128,14,Wet,12
S24419193,15,Wet,12
S24419207,14,Wet,8
S24419381,16,Wet,11
S24419385,16,Wet,9
S24419388,17,Wet,9
S24419390,17,Wet,10
S24420198,7,Wet,7
S24420326,8,Wet,11
S24420463,10,Wet,18
S24420568,11,Wet,9
S24420629,11,Wet,15
S24427441,10,Wet,12
S24427443,9,Wet,14
S24427460,9,Wet,17
S24427769,8,Wet,15
S24427921,8,Wet,15
S24427960,8,Wet,13
S24428067,8,Wet,12
S24431098,16,Wet,6
S24437315,8,Wet,6
S24437333,9,Wet,12
S24437347,9,Wet,13
S24437378,9,Wet,16
S24437396,9,Wet,18
S24437489,10,Wet,14
S24437498,10,Wet,12
S24437511,10,Wet,14
S24437523,10,Wet,15
S24437609,16,Wet,19
S24437682,16,Wet,9
S24437713,17,Wet,4
S24437777,17,Wet,12
S24437793,18,Wet,9
S24437818,18,Wet,4
S24437836,18,Wet,5
S24440594,11,Wet,12
S24440609,11,Wet,16
S24440621,11,Wet,9
S24440696,12,Wet,16
S24440730,12,Wet,15
S24440775,13,Wet,9
S24441108,12,Wet,10
S24441137,13,Wet,18
S24441169,14,Wet,10
S24442072,14,Wet,13
S24442275,15,Wet,15
S24442281,15,Wet,11
S24442287,15,Wet,11
S24442292,16,Wet,10
S24442296,17,Wet,13
S24442304,17,Wet,10
S24442312,17,Wet,16
S24442324,16,Wet,10
S24442513,7,Wet,26
S24442537,17,Wet,18
S24442539,7,Wet,21
S24442564,7,Wet,17
S24442606,7,Wet,23
S24442708,8,Wet,29
S24442724,17,Wet,16
S24442748,7,Wet,18
S24442749,8,Wet,18
S24442775,8,Wet,22
S24442792,7,Wet,18
S24442815,9,Wet,17
S24442817,17,Wet,15
S24443011,9,Wet,25
S24443511,9,Wet,22
S24443514,8,Wet,21
S24443550,10,Wet,13
S24443560,10,Wet,19
S24443573,8,Wet,18
S24444159,9,Wet,11
S24444289,11,Wet,19
S24444295,9,Wet,9
S24444305,11,Wet,17
S24444324,11,Wet,17
S24444337,12,Wet,17
S24444540,15,Wet,24
S24444557,16,Wet,14
S24444588,16,Wet,16
S24444616,16,Wet,21
S24444650,16,Wet,15
S24444665,17,Wet,13
S24444683,17,Wet,13
S24444696,17,Wet,13
S24445118,7,Wet,7
S24452037,9,Wet,7
S24453079,7,Wet,17
S24453126,7,Wet,24
S24453176,7,Wet,17
S24453211,8,Wet,17
S24453355,6,Wet,13
S24453387,6,Wet,14
S24453398,12,Wet,8
S24453436,6,Wet,14
S24453479,12,Wet,14
S24453490,6,Wet,21
S24453536,12,Wet,12
S24453588,13,Wet,11
S24454127,7,Wet,5
S24455738,7,Wet,4
S24461944,7,Wet,16
S24462181,8,Wet,18
S24462846,6,Wet,12
S24462855,6,Wet,18
S24462882,7,Wet,12
S24462897,7,Wet,19
S24462968,8,Wet,12
S24462973,8,Wet,10
S24464101,9,Wet,15
S24464104,9,Wet,14
S24464107,15,Wet,9
S24464110,14,Wet,11
S24464113,14,Wet,17
S24464115,14,Wet,16
S24465252,8,Wet,11
S24465826,15,Wet,24
S24465838,14,Wet,18
S24466070,8,Wet,4
S24466969,14,Wet,23
S24468380,8,Wet,8
S24475626,11,Wet,5
S24475627,10,Wet,12
S24475631,10,Wet,8
S24476272,9,Wet,5
S24476322,9,Wet,7
S24476327,16,Wet,17
S24476336,17,Wet,18
S24477743,6,Wet,13
S24477762,6,Wet,11
S24477784,6,Wet,12
S24477805,7,Wet,11
S24477876,7,Wet,13
S24477900,7,Wet,13
S24477917,7,Wet,12
S24477928,8,Wet,13
S24478003,8,Wet,14
S24478028,8,Wet,17
S24478055,9,Wet,15
S24478077,9,Wet,13
S24478261,9,Wet,13
S24478276,9,Wet,13
S24478299,10,Wet,10
S24478315,10,Wet,10
S24478394,11,Wet,10
S24478406,11,Wet,7
S24478415,11,Wet,10
S24478434,11,Wet,10
S24478466,12,Wet,12
S24478489,12,Wet,12
S24478505,12,Wet,11
S24478527,12,Wet,11
S24478554,13,Wet,8
S24478587,13,Wet,6
S24478698,13,Wet,9
S24478710,13,Wet,9
S24479183,7,Wet,7
S24479273,7,Wet,3
S24479915,7,Wet,12
S24480039,8,Wet,10
S24480649,7,Wet,6
S24480794,7,Wet,8
S24481004,7,Wet,8
S24481115,8,Wet,4
S24488615,7,Wet,11
S24488616,7,Wet,9
S24488617,8,Wet,19
S24488618,9,Wet,13
S24489670,7,Wet,12
S24489671,7,Wet,7
S24489672,7,Wet,10
S24489673,8,Wet,5
S24489674,8,Wet,8
S24491284,14,Wet,13
S24491296,14,Wet,12
S24491331,14,Wet,9
S24491346,15,Wet,15
S24491391,15,Wet,15
S24491602,15,Wet,14
S24491693,16,Wet,12
S24491711,16,Wet,14
S24491714,8,Wet,7
S24491737,17,Wet,13
S24491761,17,Wet,14
S24491774,17,Wet,12
S24491790,17,Wet,13
S24491837,18,Wet,16
S24492078,8,Wet,5
S24492156,9,Wet,7
S24492700,9,Wet,7
S24492806,16,Wet,5
S24492906,16,Wet,10
S24492910,17,Wet,8
S24492914,17,Wet,8
S24493369,11,Wet,11
S24493409,10,Wet,8
S24493413,10,Wet,9
S24493414,11,Wet,4
S24493416,12,Wet,4
S24493418,11,Wet,6
S24493420,9,Wet,11
S24493424,12,Wet,8
S24493443,11,Wet,9
S24493487,11,Wet,8
S24493495,8,Wet,18
S24493799,8,Wet,17
S24499643,12,Wet,5
S24499646,12,Wet,4
S24499649,11,Wet,4
S24499654,11,Wet,10
S24499658,10,Wet,4
S24499671,12,Wet,3
S24499677,12,Wet,2
S24499689,10,Wet,11
S24504217,16,Wet,9
S24504219,16,Wet,10
S24504221,17,Wet,19
S24504222,17,Wet,11
S24514819,16,Wet,27
S24514867,16,Wet,26
S24514914,17,Wet,25
S24514936,17,Wet,24
S24514963,17,Wet,19
S24514977,17,Wet,9
S24514991,6,Wet,19
S24515009,18,Wet,15
S24521320,6,Wet,4
S24521326,6,Wet,8
S24521334,6,Wet,9
S24532352,7,Wet,14
S24532395,7,Wet,5
S24532418,8,Wet,9
S24532449,8,Wet,2
S24532460,10,Wet,10
S24532467,10,Wet,7
S24532469,10,Wet,5
S24532473,10,Wet,3
S24532554,7,Wet,9
S24533306,7,Wet,7
S24534539,7,Wet,3
S24534610,7,Wet,15
S24536342,8,Wet,11
S24536506,9,Wet,9
S24536605,9,Wet,3
S24536816,9,Wet,11
S24543619,6,Wet,18
S24546186,8,Wet,16
S24546352,8,Wet,18
S24547358,9,Wet,5
S24547454,9,Wet,9
S24547511,10,Wet,17
S24547702,10,Wet,13
S24547855,11,Wet,17
S24548176,10,Wet,7
S24548183,11,Wet,7
S24548198,11,Wet,11
S24548229,11,Wet,12
S24548310,7,Wet,23
S24549811,7,Wet,13
S24549910,7,Wet,27
S24550298,8,Wet,7
S24550321,8,Wet,9
S24550595,9,Wet,11
S24550629,9,Wet,16
S24558144,11,Wet,3
S24558151,11,Wet,5
S24558182,10,Wet,15
S24558207,10,Wet,13
S24558227,9,Wet,9
S24558274,7,Wet,10
S24558309,7,Wet,11
S24559094,7,Wet,5
S24563283,9,Wet,4
S24563322,9,Wet,4
S24563336,10,Wet,9
S24563349,10,Wet,6
S24563383,16,Wet,4
S24563401,16,Wet,4
S24563412,16,Wet,4
S24563416,17,Wet,5
S24563422,17,Wet,5
S24563426,17,Wet,5
S24563432,18,Wet,5
S24563452,18,Wet,5
S24563863,8,Wet,17
S24564643,7,Wet,17
S24564919,7,Wet,20
S24565069,8,Wet,21
S24565116,8,Wet,10
S24566469,9,Wet,13
S24566554,9,Wet,18
S24566586,10,Wet,9
S24572966,7,Wet,13
S24573017,7,Wet,10
S24573048,7,Wet,11
S24573095,7,Wet,18
S24573247,8,Wet,8
S24573280,8,Wet,9
S24573309,9,Wet,7
S24573347,9,Wet,10
S24574289,7,Wet,17
S24574336,7,Wet,22
S24574400,8,Wet,15
S24574419,7,Wet,12
S24574430,7,Wet,8
S24574451,8,Wet,7
S24574465,8,Wet,10
S24574495,8,Wet,4
S24574505,9,Wet,8
S24574519,9,Wet,9
S24574530,9,Wet,8
S24574567,18,Wet,8
S24574583,18,Wet,6
S24574599,18,Wet,9
S24574625,18,Wet,5
S24576054,8,Wet,11
S24576056,8,Wet,12
S24576220,10,Wet,15
S24576259,8,Wet,12
S24576260,9,Wet,9
S24576264,9,Wet,15
S24576266,10,Wet,19
S24576359,16,Wet,8
S24576375,15,Wet,8
S24576379,15,Wet,5
S24576383,15,Wet,5
S24576719,17,Wet,14
S24576774,17,Wet,12
S24576776,17,Wet,16
S24576865,8,Wet,10
S24577653,16,Wet,10
S24577839,10,Wet,8
S24578078,11,Wet,16
S24578200,11,Wet,14
S24578279,11,Wet,13
S24578313,11,Wet,10
S24585740,7,Wet,7
S24585751,6,Wet,7
S24585753,7,Wet,12
S24585755,7,Wet,6
S24585760,7,Wet,12
S24585769,7,Wet,9
S24585773,8,Wet,18
S24585776,8,Wet,16
S24585781,8,Wet,13
S24585784,8,Wet,14
S24585789,9,Wet,14
S24585791,8,Wet,10
S24585802,16,Wet,9
S24585810,8,Wet,15
S24585820,9,Wet,5
S24585821,16,Wet,8
S24585825,9,Wet,15
S24585828,9,Wet,7
S24585829,16,Wet,6
S24585840,17,Wet,11
S24585969,10,Wet,7
S24585976,10,Wet,8
S24585981,10,Wet,7
S24586405,9,Wet,11
S24586406,8,Wet,9
S24586409,8,Wet,12
S24586412,8,Wet,22
S24586740,9,Wet,15
S24586791,9,Wet,15
S24586872,9,Wet,20
S24586901,9,Wet,12
S24587917,17,Wet,16
S24588318,10,Wet,9
S24588606,10,Wet,7
S24588682,10,Wet,14
S24588736,11,Wet,13
S24595761,7,Wet,10
S24595794,6,Wet,10
S24595812,6,Wet,11
S24595872,7,Wet,13
S24596091,7,Wet,9
S24596123,8,Wet,6
S24596193,8,Wet,10
S24596207,8,Wet,10
S24597330,10,Wet,8
S24597414,10,Wet,14
S24597443,10,Wet,12
S24597570,10,Wet,10
S24608365,16,Wet,14
S24608520,16,Wet,15
S24608593,7,Wet,17
S24608596,7,Wet,19
S24608598,7,Wet,17
S24608599,8,Wet,12
S24608929,8,Wet,13
S24608933,9,Wet,15
S24608937,9,Wet,10
S24608938,9,Wet,3
S24610996,17,Wet,16
S24612007,8,Wet,12
S24612030,8,Wet,13
S24612059,9,Wet,6
S24612082,9,Wet,8
S24612105,9,Wet,9
S24612226,10,Wet,7
S24612251,11,Wet,7
S24612300,11,Wet,8
S24612340,11,Wet,10
S24612371,12,Wet,11
S24612399,12,Wet,4
S24612422,12,Wet,7
S24612446,13,Wet,4
S24612758,7,Wet,14
S24613402,8,Wet,11
S24613621,8,Wet,13
S24613695,12,Wet,10
S24613764,10,Wet,11
S24613773,13,Wet,16
S24613789,10,Wet,5
S24623637,16,Wet,15
S24623642,16,Wet,8
S24623643,16,Wet,14
S24623648,16,Wet,15
S24623658,17,Wet,11
S24623662,16,Wet,15
S24623710,17,Wet,14
S24623717,17,Wet,13
S24623731,18,Wet,15
S24623737,18,Wet,16
S24623948,17,Wet,7
S24624026,16,Wet,11
S24624209,6,Wet,11
S24624364,7,Wet,11
S24624525,7,Wet,14
S24624580,7,Wet,14
S24624717,6,Wet,21
S24624744,6,Wet,17
S24624765,6,Wet,17
S24624787,7,Wet,15
S24624997,7,Wet,26
S24625029,7,Wet,29
S24625054,8,Wet,24
S24625087,8,Wet,26
S24625133,9,Wet,23
S24625156,9,Wet,13
S24625171,9,Wet,14
S24625194,9,Wet,14
S24625260,10,Wet,16
S24625312,10,Wet,13
S24625348,11,Wet,6
S24625377,11,Wet,16
S24625438,14,Wet,22
S24625479,15,Wet,21
S24625502,15,Wet,25
S24625586,8,Wet,22
S24625623,15,Wet,26
S24625655,15,Wet,18
S24625679,16,Wet,18
S24625699,16,Wet,16
S24625763,16,Wet,14
S24625793,17,Wet,12
S24625813,17,Wet,15
S24625837,17,Wet,12
S24626147,8,Wet,14
S24626316,9,Wet,10
S24626408,9,Wet,17
S24626433,10,Wet,7
S24630736,16,Wet,22
S24630763,16,Wet,20
S24630787,17,Wet,22
S24630807,17,Wet,15
S24630930,16,Wet,40
S24630983,16,Wet,37
S24631036,17,Wet,30
S24631113,17,Wet,30
S24631185,17,Wet,21
S24631198,18,Wet,18
S24631224,18,Wet,17
S24631253,18,Wet,20
S24631345,17,Wet,31
S24631401,18,Wet,28
S24631431,18,Wet,26
S24631464,18,Wet,25
S24639794,15,Wet,6
S24639801,16,Wet,2
S24639823,16,Wet,3
S24639830,16,Wet,3
S24639831,10,Wet,16
S24639836,17,Wet,28
S24639838,10,Wet,3
S24639844,17,Wet,23
S24639855,17,Wet,18
S24639860,10,Wet,12
S24639861,17,Wet,20
S24639870,18,Wet,25
S24639875,18,Wet,14
S24639880,18,Wet,14
S24639886,18,Wet,12
S24639893,10,Wet,12
S24639905,16,Wet,30
S24639918,16,Wet,18
S24639927,16,Wet,18
S24639936,16,Wet,17
S24639937,10,Wet,9
S24639963,15,Wet,23
S24639969,15,Wet,17
S24639977,16,Wet,16
S24639980,16,Wet,17
S24639990,17,Wet,18
S24639997,17,Wet,11
S24640001,18,Wet,11
S24640003,18,Wet,7
S24640027,6,Wet,13
S24640031,7,Wet,13
S24640034,7,Wet,11
S24640039,7,Wet,13
S24640048,8,Wet,17
S24640049,8,Wet,12
S24640052,8,Wet,14
S24640055,8,Wet,12
S24640196,10,Wet,4
S24640197,8,Wet,4
S24640198,10,Wet,3
S24640200,10,Wet,5
S24640206,9,Wet,6
S24640210,9,Wet,6
S24640973,6,Wet,13
S24641000,6,Wet,10
S24641010,7,Wet,6
S24641023,7,Wet,7
S24641040,7,Wet,8
S24641051,8,Wet,12
S24641065,8,Wet,10
S24641075,8,Wet,15
S24641087,9,Wet,7
S24641098,9,Wet,6
S24641105,9,Wet,6
S24641113,9,Wet,6
S24642489,16,Wet,13
S24642575,16,Wet,11
S24642637,16,Wet,15
S24642671,17,Wet,9
S24643222,8,Wet,16
S24643341,8,Wet,12
S24643346,8,Wet,11
S24643351,8,Wet,13
S24643495,10,Wet,17
S24643496,8,Wet,12
S24643537,9,Wet,14
S24643545,9,Wet,13
S24643549,10,Wet,16
S24643597,9,Wet,17
S24643638,8,Wet,5
S24643694,10,Wet,6
S24643736,15,Wet,13
S24643739,15,Wet,14
S24643745,15,Wet,15
S24643747,16,Wet,24
S24643801,16,Wet,11
S24643882,17,Wet,11
S24643885,17,Wet,14
S24643890,17,Wet,9
S24643984,7,Wet,9
S24644027,7,Wet,8
S24644169,8,Wet,20
S24644313,9,Wet,7
S24644414,10,Wet,15
S24644675,7,Wet,12
S24644726,7,Wet,8
S24645075,8,Wet,9
S24645125,8,Wet,10
S24652478,6,Wet,6
S24652530,6,Wet,6
S24652565,7,Wet,4
S24652596,7,Wet,9
S24652598,8,Wet,8
S24652621,6,Wet,9
S24652622,7,Wet,5
S24652629,7,Wet,4
S24652636,8,Wet,2
S24652647,7,Wet,9
S24652649,8,Wet,8
S24652657,7,Wet,6
S24652658,8,Wet,5
S24652667,10,Wet,6
S24652673,7,Wet,7
S24652676,8,Wet,2
S24652685,9,Wet,5
S24652697,9,Wet,6
S24652702,11,Wet,7
S24652711,12,Wet,8
S24652712,12,Wet,8
S24652713,8,Wet,3
S24652715,8,Wet,5
S24652716,8,Wet,7
S24652717,8,Wet,10
S24652727,8,Wet,9
S24652737,8,Wet,5
S24652742,8,Wet,5
S24652745,8,Wet,19
S24652757,8,Wet,7
S24652769,9,Wet,6
S24652772,8,Wet,20
S24652776,9,Wet,8
S24652782,9,Wet,8
S24652785,8,Wet,16
S24652799,9,Wet,11
S24652806,9,Wet,8
S24652817,10,Wet,4
S24652823,10,Wet,7
S24652842,10,Wet,9
S24652853,11,Wet,10
S24652879,8,Wet,14
S24652891,9,Wet,13
S24652901,9,Wet,8
S24652908,10,Wet,9
S24653260,8,Wet,6
S24653285,9,Wet,8
S24653416,12,Wet,6
S24653430,12,Wet,7
S24653973,11,Wet,8
S24654027,11,Wet,11
S24654046,11,Wet,5
S24654083,11,Wet,7
S24654122,12,Wet,7
S24654138,13,Wet,7
S24654233,14,Wet,9
S24657207,8,Wet,11
S24657316,8,Wet,11
S24657407,8,Wet,14
S24657470,8,Wet,11
S24657618,9,Wet,9
S24657729,10,Wet,9
S24657835,10,Wet,6
S24657950,10,Wet,14
S24658963,10,Wet,4
S24659247,10,Wet,5
S24659296,10,Wet,4
S24659367,10,Wet,4
S24660083,6,Wet,7
S24660104,6,Wet,4
S24660142,6,Wet,4
S24660347,7,Wet,8
S24660435,7,Wet,10
S24660521,7,Wet,9
S24660571,7,Wet,5
S24664229,10,Wet,8
S24664536,18,Wet,8
S24664540,18,Wet,7
S24664548,18,Wet,9
S24664557,18,Wet,7
S24664570,15,Wet,8
S24664575,15,Wet,5
S24664577,15,Wet,6
S24664588,15,Wet,8
S24664596,8,Wet,18
S24664600,16,Wet,6
S24664602,7,Wet,20
S24664622,16,Wet,9
S24664632,16,Wet,10
S24664638,16,Wet,8
S24664700,17,Wet,6
S24664708,17,Wet,7
S24664719,17,Wet,13
S24664849,8,Wet,8
S24664872,8,Wet,4
S24664876,8,Wet,6
S24664877,9,Wet,4
S24664994,10,Wet,2
S24665004,10,Wet,5
S24665021,10,Wet,11
S24665033,10,Wet,11
S24665088,11,Wet,13
S24665138,11,Wet,12
S24665157,11,Wet,8
S24665179,12,Wet,8
S24665494,8,Wet,7
S24665551,8,Wet,8
S24665558,7,Wet,8
S24665612,9,Wet,10
S24665653,9,Wet,5
S24665698,10,Wet,15
S24665702,10,Wet,6
S24665703,9,Wet,11
S24665716,9,Wet,6
S24665745,9,Wet,5
S24665926,7,Wet,9
S24665943,7,Wet,14
S24666049,11,Wet,6
S24666137,8,Wet,13
S24666406,11,Wet,14
S24666730,12,Wet,14
S24666849,12,Wet,17
S24667435,8,Wet,17
S24676825,7,Wet,13
S24676861,7,Wet,14
S24676894,8,Wet,14
S24676926,8,Wet,16
S24676933,10,Wet,6
S24676954,10,Wet,11
S24676966,10,Wet,6
S24676968,11,Wet,8
S24676978,10,Wet,10
S24677014,12,Wet,13
S24677043,11,Wet,3
S24677060,11,Wet,11
S24677094,6,Wet,6
S24677325,7,Wet,7
S24677333,7,Wet,6
S24677346,7,Wet,5
S24677348,8,Wet,7
S24677385,9,Wet,5
S24677393,9,Wet,3
S24677400,9,Wet,2
S24677408,12,Wet,9
S24677410,12,Wet,7
S24677443,8,Wet,17
S24677455,10,Wet,10
S24677462,7,Wet,18
S24677481,8,Wet,15
S24677486,10,Wet,19
S24677499,11,Wet,5
S24677500,12,Wet,14
S24677501,12,Wet,8
S24677503,13,Wet,7
S24677504,13,Wet,20
S24677507,11,Wet,5
S24677515,8,Wet,9
S24677527,11,Wet,11
S24677539,12,Wet,10
S24677541,8,Wet,5
S24677564,9,Wet,7
S24677579,9,Wet,11
S24677589,9,Wet,9
S24677601,9,Wet,8
S24677640,10,Wet,10
S24677647,10,Wet,3
S24677657,11,Wet,8
S24677662,11,Wet,9
S24678817,11,Wet,8
S24678822,10,Wet,16
S24678825,10,Wet,13
S24678828,9,Wet,13
S24678831,9,Wet,12
S24678836,8,Wet,12
S24678839,8,Wet,14
S24679337,9,Wet,16
S24679767,10,Wet,15
S24680593,10,Wet,16
S24693268,11,Wet,7
S24693274,10,Wet,22
S24693319,8,Wet,15
S24693363,12,Wet,9
S24693369,6,Wet,6
S24693376,12,Wet,7
S24693377,7,Wet,7
S24693393,7,Wet,7
S24693397,12,Wet,7
S24693407,7,Wet,8
S24693416,7,Wet,7
S24693419,8,Wet,6
S24693429,8,Wet,7
S24693430,9,Wet,14
S24693458,11,Wet,9
S24693460,8,Wet,6
S24693475,9,Wet,7
S24693482,9,Wet,7
S24693495,9,Wet,10
S24693506,11,Wet,7
S24693513,17,Wet,7
S24693518,17,Wet,8
S24693523,11,Wet,8
S24693530,18,Wet,16
S24693552,12,Wet,9
S24693568,12,Wet,12
S24693573,18,Wet,10
S24693639,13,Wet,12
S24693656,13,Wet,4
S24693865,11,Wet,10
S24693886,12,Wet,12
S24694071,7,Wet,7
S24694081,7,Wet,10
S24694090,7,Wet,9
S24694101,8,Wet,6
S24694123,8,Wet,5
S24694130,8,Wet,6
S24694138,9,Wet,5
S24697447,8,Wet,12
S24697529,8,Wet,8
S24697643,8,Wet,11
S24697732,8,Wet,9
S24698838,9,Wet,6
S24698915,9,Wet,5
S24699258,9,Wet,10
S24706218,8,Wet,6
S24707316,8,Wet,7
S24708012,8,Wet,7
S24708665,9,Wet,15
S24714798,8,Wet,15
S24714807,9,Wet,8
S24714812,9,Wet,9
S24714823,9,Wet,11
S24729312,14,Wet,17
S24729522,15,Wet,10
S24729761,15,Wet,13
S24730642,9,Wet,7
S24730673,16,Wet,7
S24730701,9,Wet,10
S24730967,10,Wet,10
S24731030,10,Wet,7
S24739071,15,Wet,7
S24739096,15,Wet,4
S24739107,16,Wet,8
S24739154,16,Wet,7
S24739181,16,Wet,6
S24739331,16,Wet,6
S24739335,17,Wet,8
S24739366,17,Wet,6
S24739374,18,Wet,6
S24739378,18,Wet,4
S24739381,18,Wet,7
S24739394,16,Wet,6
S24739398,16,Wet,8
S24739407,17,Wet,9
S24739411,17,Wet,6
S24742179,16,Wet,5
S24742265,17,Wet,5
S24742268,17,Wet,6
S24742272,17,Wet,5
S24742419,15,Wet,11
S24742422,14,Wet,9
S24742425,15,Wet,9
S24742426,15,Wet,10
S24746627,16,Wet,18
S24746673,17,Wet,16
S24746947,17,Wet,8
S24747007,16,Wet,16
S24747187,16,Wet,18
S24747222,16,Wet,11
S24747243,16,Wet,13
S24747339,17,Wet,12
S24762053,8,Wet,7
S24762143,8,Wet,16
S24762153,8,Wet,11
S24762162,8,Wet,4
S24762189,9,Wet,9
S24762206,9,Wet,11
S24762221,10,Wet,9
S24762248,10,Wet,7
S24764577,8,Wet,9
S24764613,9,Wet,12
S24764675,9,Wet,13
S24764783,10,Wet,4
S24764791,10,Wet,3
S24764792,11,Wet,2
S24764803,11,Wet,5
S24764805,7,Wet,20
S24764893,7,Wet,30
S24764974,8,Wet,24
S24764991,15,Wet,9
S24765037,15,Wet,12
S24765061,16,Wet,17
S24765065,16,Wet,5
S24765107,16,Wet,18
S24765116,16,Wet,10
S24765133,16,Wet,14
S24765191,17,Wet,18
S24765204,17,Wet,12
S24765208,17,Wet,10
S24765214,17,Wet,8
S24765235,8,Wet,11
S24765268,15,Wet,15
S24765326,16,Wet,21
S24765363,16,Wet,17
S24765427,17,Wet,21
S24765459,17,Wet,14
S24773048,16,Wet,8
S24773072,16,Wet,14
S24773183,17,Wet,15
S24773220,17,Wet,16
S24775735,8,Wet,10
S24775755,8,Wet,15
S24775784,9,Wet,16
S24775837,9,Wet,15
S24775897,8,Wet,14
S24775914,8,Wet,15
S24775965,16,Wet,13
S24775980,16,Wet,11
S24776001,16,Wet,16
S24776021,16,Wet,14
