OLD.STATE,OLD.COUNTY,OLD.STATE.CODE,OLD.COUNTY.CODE,NEW.STATE,NEW.COUNTY,NEW.STATE.CODE,NEW.COUNTY.CODE
Rajasthan,Hanumangarh,IN-RJ,IN-RJ-HA,Rajasthan,Hanumangarh,IN-RJ,IN-RJ-HA
Rajasthan,Bikaner,IN-RJ,IN-RJ-BI,Rajasthan,Bikaner,IN-RJ,IN-RJ-BI
Rajasthan,Pratapgarh,IN-RJ,IN-RJ-PR,Rajasthan,Pratapgarh,IN-RJ,IN-RJ-PR
Uttar Pradesh,Jyotiba Phule Nagar,IN-UP,IN-UP-JP,Uttar Pradesh,Amroha,IN-UP,IN-UP-JP
NA,NA,NA,NA,Uttar Pradesh,Hapur,IN-UP,NA
Uttar Pradesh,Bareilly,IN-UP,IN-UP-BR,Uttar Pradesh,Bareilly,IN-UP,IN-UP-BR
Uttar Pradesh,Pilibhit,IN-UP,IN-UP-PI,Uttar Pradesh,Pilibhit,IN-UP,IN-UP-PI
Uttar Pradesh,Bulandshahr,IN-UP,IN-UP-BU,Uttar Pradesh,Bulandshahr,IN-UP,IN-UP-BU
Uttar Pradesh,Gautam Buddha Nagar,IN-UP,IN-UP-GB,Uttar Pradesh,Gautam Buddha Nagar,IN-UP,IN-UP-GB
Uttar Pradesh,Kheri,IN-UP,IN-UP-LK,Uttar Pradesh,Kheri,IN-UP,IN-UP-LK
Uttar Pradesh,Budaun,IN-UP,IN-UP-BD,Uttar Pradesh,Budaun,IN-UP,IN-UP-BD
Uttar Pradesh,Bahraich,IN-UP,IN-UP-BH,Uttar Pradesh,Bahraich,IN-UP,IN-UP-BH
Uttar Pradesh,Shahjahanpur,IN-UP,IN-UP-SJ,Uttar Pradesh,Shahjahanpur,IN-UP,IN-UP-SJ
Uttar Pradesh,Aligarh,IN-UP,IN-UP-AL,Uttar Pradesh,Aligarh,IN-UP,IN-UP-AL
Uttar Pradesh,Kansiram Nagar,IN-UP,IN-UP-KM,Uttar Pradesh,Kasganj,IN-UP,IN-UP-KM
Uttar Pradesh,Mathura,IN-UP,IN-UP-MT,Uttar Pradesh,Mathura,IN-UP,IN-UP-MT
Uttar Pradesh,Shrawasti,IN-UP,IN-UP-SV,Uttar Pradesh,Shrawasti,IN-UP,IN-UP-SV
Uttar Pradesh,Sitapur,IN-UP,IN-UP-SI,Uttar Pradesh,Sitapur,IN-UP,IN-UP-SI
Uttar Pradesh,Mahamaya Nagar,IN-UP,IN-UP-HT,Uttar Pradesh,Hathras,IN-UP,IN-UP-HT
Uttar Pradesh,Etah,IN-UP,IN-UP-ET,Uttar Pradesh,Etah,IN-UP,IN-UP-ET
Uttar Pradesh,Hardoi,IN-UP,IN-UP-HR,Uttar Pradesh,Hardoi,IN-UP,IN-UP-HR
Uttar Pradesh,Farrukhabad,IN-UP,IN-UP-FR,Uttar Pradesh,Farrukhabad,IN-UP,IN-UP-FR
Uttar Pradesh,Firozabad,IN-UP,IN-UP-FI,Uttar Pradesh,Firozabad,IN-UP,IN-UP-FI
Uttar Pradesh,Siddharth Nagar,IN-UP,IN-UP-SN,Uttar Pradesh,Siddharthnagar,IN-UP,IN-UP-SN
Uttar Pradesh,Mainpuri,IN-UP,IN-UP-MP,Uttar Pradesh,Mainpuri,IN-UP,IN-UP-MP
Uttar Pradesh,Maharajganj,IN-UP,IN-UP-MG,Uttar Pradesh,Mahrajganj,IN-UP,IN-UP-MG
Uttar Pradesh,Agra,IN-UP,IN-UP-AG,Uttar Pradesh,Agra,IN-UP,IN-UP-AG
Uttar Pradesh,Gonda,IN-UP,IN-UP-GN,Uttar Pradesh,Gonda,IN-UP,IN-UP-GN
Uttar Pradesh,Bara Banki,IN-UP,IN-UP-BB,Uttar Pradesh,Bara Banki,IN-UP,IN-UP-BB
Uttar Pradesh,Kushinagar,IN-UP,IN-UP-KU,Uttar Pradesh,Kushinagar,IN-UP,IN-UP-KU
Uttar Pradesh,Kannauj,IN-UP,IN-UP-KJ,Uttar Pradesh,Kannauj,IN-UP,IN-UP-KJ
Uttar Pradesh,Lucknow,IN-UP,IN-UP-LU,Uttar Pradesh,Lucknow,IN-UP,IN-UP-LU
Uttar Pradesh,Basti,IN-UP,IN-UP-BS,Uttar Pradesh,Basti,IN-UP,IN-UP-BS
Uttar Pradesh,Gorakhpur,IN-UP,IN-UP-GR,Uttar Pradesh,Gorakhpur,IN-UP,IN-UP-GR
Uttar Pradesh,Sant Kabir Nagar,IN-UP,IN-UP-SK,Uttar Pradesh,Sant Kabir Nagar,IN-UP,IN-UP-SK
Uttar Pradesh,Unnao,IN-UP,IN-UP-UN,Uttar Pradesh,Unnao,IN-UP,IN-UP-UN
Uttar Pradesh,Etawah,IN-UP,IN-UP-EW,Uttar Pradesh,Etawah,IN-UP,IN-UP-EW
Uttar Pradesh,Kanpur Nagar,IN-UP,IN-UP-KN,Uttar Pradesh,Kanpur Nagar,IN-UP,IN-UP-KN
Uttar Pradesh,Auraiya,IN-UP,IN-UP-AU,Uttar Pradesh,Auraiya,IN-UP,IN-UP-AU
Uttar Pradesh,Faizabad,IN-UP,IN-UP-FZ,Uttar Pradesh,Faizabad,IN-UP,IN-UP-FZ
Uttar Pradesh,Kanpur Dehat,IN-UP,IN-UP-KD,Uttar Pradesh,Kanpur Dehat,IN-UP,IN-UP-KD
Uttar Pradesh,Deoria,IN-UP,IN-UP-DE,Uttar Pradesh,Deoria,IN-UP,IN-UP-DE
Uttar Pradesh,Sultanpur,IN-UP,IN-UP-SU,Uttar Pradesh,Sultanpur,IN-UP,IN-UP-SU
Uttar Pradesh,Ambedkar Nagar,IN-UP,IN-UP-AN,Uttar Pradesh,Ambedkar Nagar,IN-UP,IN-UP-AN
Uttar Pradesh,Rae Bareli,IN-UP,IN-UP-RB,Uttar Pradesh,Rae Bareli,IN-UP,IN-UP-RB
Uttar Pradesh,Jalaun,IN-UP,IN-UP-JL,Uttar Pradesh,Jalaun,IN-UP,IN-UP-JL
Uttar Pradesh,Azamgarh,IN-UP,IN-UP-AZ,Uttar Pradesh,Azamgarh,IN-UP,IN-UP-AZ
Uttar Pradesh,Mau,IN-UP,IN-UP-MA,Uttar Pradesh,Mau,IN-UP,IN-UP-MA
Uttar Pradesh,Fatehpur,IN-UP,IN-UP-FT,Uttar Pradesh,Fatehpur,IN-UP,IN-UP-FT
Uttar Pradesh,Ballia,IN-UP,IN-UP-BL,Uttar Pradesh,Ballia,IN-UP,IN-UP-BL
Uttar Pradesh,Jaunpur,IN-UP,IN-UP-JU,Uttar Pradesh,Jaunpur,IN-UP,IN-UP-JU
Uttar Pradesh,Jhansi,IN-UP,IN-UP-JH,Uttar Pradesh,Jhansi,IN-UP,IN-UP-JH
NA,NA,NA,NA,Uttar Pradesh,Banda,IN-UP,NA
Uttar Pradesh,Ghazipur,IN-UP,IN-UP-GP,Uttar Pradesh,Ghazipur,IN-UP,IN-UP-GP
Uttar Pradesh,Kaushambi,IN-UP,IN-UP-KS,Uttar Pradesh,Kaushambi,IN-UP,IN-UP-KS
Uttar Pradesh,Allahabad,IN-UP,IN-UP-AH,Uttar Pradesh,Prayagraj,IN-UP,IN-UP-AH
Uttar Pradesh,Varanasi,IN-UP,IN-UP-VA,Uttar Pradesh,Varanasi,IN-UP,IN-UP-VA
Uttar Pradesh,Chitrakoot,IN-UP,IN-UP-CT,Uttar Pradesh,Chitrakoot,IN-UP,IN-UP-CT
Uttar Pradesh,Chandauli,IN-UP,IN-UP-CD,Uttar Pradesh,Chandauli,IN-UP,IN-UP-CD
Uttar Pradesh,Sant Ravi Das Nagar(bhadohi),IN-UP,IN-UP-SR,Uttar Pradesh,Bhadohi,IN-UP,IN-UP-SR
Uttar Pradesh,Mirzapur,IN-UP,IN-UP-MI,Uttar Pradesh,Mirzapur,IN-UP,IN-UP-MI
Uttar Pradesh,Lalitpur,IN-UP,IN-UP-LA,Uttar Pradesh,Lalitpur,IN-UP,IN-UP-LA
Uttar Pradesh,Sonbhadra,IN-UP,IN-UP-SO,Uttar Pradesh,Sonbhadra,IN-UP,IN-UP-SO
NA,NA,NA,NA,Uttar Pradesh,Amethi,IN-UP,NA
Uttar Pradesh,Ghaziabad,IN-UP,IN-UP-GZ,Uttar Pradesh,Ghaziabad,IN-UP,IN-UP-GZ
NA,NA,NA,NA,Uttar Pradesh,Sambhal,IN-UP,NA
Uttar Pradesh,Mahoba,IN-UP,IN-UP-MH,Uttar Pradesh,Mahoba,IN-UP,IN-UP-MH
Uttar Pradesh,Saharanpur,IN-UP,IN-UP-SA,Uttar Pradesh,Saharanpur,IN-UP,IN-UP-SA
Uttar Pradesh,Bijnor,IN-UP,IN-UP-BI,Uttar Pradesh,Bijnor,IN-UP,IN-UP-BI
Uttar Pradesh,Muzaffarnagar,IN-UP,IN-UP-MU,Uttar Pradesh,Muzaffarnagar,IN-UP,IN-UP-MU
Uttar Pradesh,Baghpat,IN-UP,IN-UP-BG,Uttar Pradesh,Baghpat,IN-UP,IN-UP-BG
Uttar Pradesh,Meerut,IN-UP,IN-UP-ME,Uttar Pradesh,Meerut,IN-UP,IN-UP-ME
Uttar Pradesh,Moradabad,IN-UP,IN-UP-MO,Uttar Pradesh,Moradabad,IN-UP,IN-UP-MO
Uttar Pradesh,Rampur,IN-UP,IN-UP-RA,Uttar Pradesh,Rampur,IN-UP,IN-UP-RA
NA,NA,NA,NA,Uttar Pradesh,Shamli,IN-UP,NA
Uttar Pradesh,Balrampur,IN-UP,IN-UP-BP,Uttar Pradesh,Balrampur,IN-UP,IN-UP-BP
Uttar Pradesh,Hamirpur,IN-UP,IN-UP-HM,Uttar Pradesh,Hamirpur,IN-UP,IN-UP-HM
Uttar Pradesh,Pratapgarh,IN-UP,IN-UP-PR,Uttar Pradesh,Pratapgarh,IN-UP,IN-UP-PR
Bihar,Pashchim Champaran,IN-BR,IN-BR-WC,Bihar,Pashchim Champaran,IN-BR,IN-BR-WC
Bihar,Purba Champaran,IN-BR,IN-BR-EC,Bihar,Purba Champaran,IN-BR,IN-BR-EC
Bihar,Sitamarhi,IN-BR,IN-BR-ST,Bihar,Sitamarhi,IN-BR,IN-BR-ST
Bihar,Sheohar,IN-BR,IN-BR-SO,Bihar,Sheohar,IN-BR,IN-BR-SO
NA,NA,NA,NA,Bihar,Gopalganj,IN-BR,NA
Bihar,Samastipur,IN-BR,IN-BR-SM,Bihar,Samastipur,IN-BR,IN-BR-SM
Bihar,Katihar,IN-BR,IN-BR-KT,Bihar,Katihar,IN-BR,IN-BR-KT
Bihar,Khagaria,IN-BR,IN-BR-KH,Bihar,Khagaria,IN-BR,IN-BR-KH
Bihar,Bhojpur,IN-BR,IN-BR-BJ,Bihar,Bhojpur,IN-BR,IN-BR-BJ
Bihar,Buxar,IN-BR,IN-BR-BU,Bihar,Buxar,IN-BR,IN-BR-BU
Bihar,Darbhanga,IN-BR,IN-BR-DA,Bihar,Darbhanga,IN-BR,IN-BR-DA
Bihar,Saharsa,IN-BR,IN-BR-SH,Bihar,Saharsa,IN-BR,IN-BR-SH
Bihar,Kaimur (bhabua),IN-BR,IN-BR-KM,Bihar,Kaimur (bhabua),IN-BR,IN-BR-KM
Bihar,Rohtas,IN-BR,IN-BR-RO,Bihar,Rohtas,IN-BR,IN-BR-RO
Bihar,Jamui,IN-BR,IN-BR-JA,Bihar,Jamui,IN-BR,IN-BR-JA
Bihar,Banka,IN-BR,IN-BR-BA,Bihar,Banka,IN-BR,IN-BR-BA
Bihar,Nawada,IN-BR,IN-BR-NW,Bihar,Nawada,IN-BR,IN-BR-NW
Bihar,Gaya,IN-BR,IN-BR-GA,Bihar,Gaya,IN-BR,IN-BR-GA
Bihar,Munger,IN-BR,IN-BR-MG,Bihar,Munger,IN-BR,IN-BR-MG
Bihar,Vaishali,IN-BR,IN-BR-VA,Bihar,Vaishali,IN-BR,IN-BR-VA
Bihar,Begusarai,IN-BR,IN-BR-BE,Bihar,Begusarai,IN-BR,IN-BR-BE
Bihar,Bhagalpur,IN-BR,IN-BR-BG,Bihar,Bhagalpur,IN-BR,IN-BR-BG
Bihar,Lakhisarai,IN-BR,IN-BR-LA,Bihar,Lakhisarai,IN-BR,IN-BR-LA
Bihar,Sheikhpura,IN-BR,IN-BR-SP,Bihar,Sheikhpura,IN-BR,IN-BR-SP
Bihar,Arwal,IN-BR,IN-BR-AW,Bihar,Arwal,IN-BR,IN-BR-AW
NA,NA,NA,NA,Bihar,Jehanabad,IN-BR,NA
Bihar,Nalanda,IN-BR,IN-BR-NL,Bihar,Nalanda,IN-BR,IN-BR-NL
Bihar,Patna,IN-BR,IN-BR-PA,Bihar,Patna,IN-BR,IN-BR-PA
